,profile_id,first_name,middle_name,last_name,is_contact_pi,full_name,title,appl_id,project_serial_num,last_name_initials
2,14151638,Rebecca,Kathleen,Fielding-Miller,True,Rebecca Kathleen Fielding-Miller,ASSISTANT PROFESSOR,10548751,HD108787,Fielding-Miller KR
145,1971951,Renato,J,Aguilera,True,Renato J Aguilera,PROFESSOR,10569076,MD007592,Aguilera JR
10,1891108,Reynold,Alexander,Panettieri,True,Reynold Alexander Panettieri,PROFESSOR AND VICE CHANCELLOR,10582591,TR003017,Panettieri AR
46,1898684,Reza,NONE,Shaker,True,Reza None Shaker,,10646344,TR001436,Shaker NR
124,1898684,Reza,NONE,Shaker,True,Reza None Shaker,,10707567,TR001436,Shaker NR
141,1873121,Richard,E.,Chaisson,True,Richard E Chaisson,PROFESSOR MEDICINE,10612968,AI094189,Chaisson ER
137,1873121,Richard,E.,Chaisson,True,Richard E Chaisson,PROFESSOR MEDICINE,10612969,AI094189,Chaisson ER
143,1873121,Richard,E.,Chaisson,True,Richard E Chaisson,PROFESSOR MEDICINE,10835353,AI094189,Chaisson ER
152,8474192,Robert,A.,Kirken,True,Robert A Kirken,DEAN COLLEGE OF SCIENCE,10569074,MD007592,Kirken AR
144,8474192,Robert,A.,Kirken,True,Robert A Kirken,DEAN COLLEGE OF SCIENCE,10569075,MD007592,Kirken AR
102,1892960,Robert,Hal,Scofield,True,Robert Hal Scofield,,10721316,GM104938,Scofield HR
104,8717080,Roberta,Lynn,DeBiasi,False,Roberta Lynn DeBiasi,,10847826,HD105618,DeBiasi LR
21,8717080,Roberta,Lynn,DeBiasi,False,Roberta Lynn DeBiasi,,10733698,HD105618,DeBiasi LR
31,11638827,Russell,,Brewer,False,Russell  Brewer,RESEARCH ASSOCIATE PROFESSOR,10544765,MD017414,Brewer R
107,7086603,Sheila,Ann,Grant,False,SHEILA Ann GRANT,PROFESSOR,10730211,HL152410,Grant AS
117,8338062,Sally,Lynn,Hodder,True,Sally Lynn Hodder,PROFESSOR OF MEDICINE,10685577,GM104942,Hodder LS
126,8338062,Sally,Lynn,Hodder,True,Sally Lynn Hodder,PROFESSOR OF MEDICINE,10685578,GM104942,Hodder LS
26,9358972,Samir,,Gupta,False,Samir  Gupta,ASSOCIATE PROFESSOR,10689096,CA233314,Gupta S
60,1959879,Sandra,B.,Dunbar,True,Sandra B Dunbar,PROFESSOR,10693157,DK111024,Dunbar BS
30,8661183,Scott,,Roesch,False,Scott  Roesch,,10689096,CA233314,Roesch S
3,7812804,Scott,D,Rhodes,True,Scott D Rhodes,PROFESSOR AND CHAIR,10545075,MD017431,Rhodes DS
113,1962101,Sharon,Irene Smith,Rounds,True,Sharon Irene Smith Rounds,,10692869,GM115677,Rounds IS
131,1962101,Sharon,Irene Smith,Rounds,True,Sharon Irene Smith Rounds,,10692881,GM115677,Rounds IS
41,10394059,Shelby,,Kutty,False,Shelby  Kutty,,10733695,HD105591,Kutty S
74,10394059,Shelby,,Kutty,False,Shelby  Kutty,,10847802,HD105591,Kutty S
136,9761289,Sheree,Renae,Schwartz,True,Sheree Renae Schwartz,ASSOCIATE SCIENTIST,10612991,AI094189,Schwartz RS
13,9713572,Shuchi,,Anand,True,Shuchi  Anand,POSTDOCTORAL FELLOW,10549372,AI169477,Anand S
65,11782828,Sijin,,Wen,True,Sijin  Wen,PROFESSOR,10685587,GM104942,Wen S
27,1873777,Spero,MARTIN,Manson,False,Spero Martin Manson,DISTINGUISHED PROFESSOR,10545080,MD017436,Manson MS
85,6787050,Sridevi,,Devaraj,False,Sridevi  Devaraj,,10847803,HD105593,Devaraj S
11,6787050,Sridevi,,Devaraj,False,Sridevi  Devaraj,,10733689,HD105593,Devaraj S
71,3104126,Steffanie,A.,Strathdee,True,Steffanie A Strathdee,PROFESSOR,10833944,DA049644,Strathdee AS
61,3104126,Steffanie,A.,Strathdee,True,Steffanie A Strathdee,PROFESSOR,10559512,DA049644,Strathdee AS
80,3104126,Steffanie,A.,Strathdee,True,Steffanie A Strathdee,PROFESSOR,10754696,DA049644,Strathdee AS
114,8074968,Stephen,J,Kogut,True,Stephen J Kogut,,10692886,GM115677,Kogut JS
82,12629725,Stephenie,Kay,Kennedy,True,Stephenie Kay Kennedy,ASSOCIATE CANCER CENTER DIRECTOR,10685593,GM104942,Kennedy KS
53,14228211,Steven,Daniel,Hicks,False,Steven Daniel Hicks,,10733697,HD105610,Hicks DS
77,14228211,Steven,Daniel,Hicks,False,Steven Daniel Hicks,,10847809,HD105610,Hicks DS
89,6789091,Susan,L,Mitchell,False,Susan L Mitchell,,10673655,AG063546,Mitchell LS
57,1882689,Susan,L,Santangelo,True,Susan L SANTANGELO,DIRECTOR CENTER FOR PSYCHIATRIC RESEARCH,10675584,GM115516,Santangelo LS
127,78422679,Sylvia,,Goldman,True,Sylvia  Goldman,,10677685,GM104940,Goldman S
5,14605047,T,Joseph,Mattingly,False,T Joseph Mattingly,,10545060,MD017437,Mattingly JT
124,1901162,Terry,C,Davis,True,Terry C Davis,,10677693,GM104940,Davis CT
73,1913135,Therese,M,Giglia,False,Therese M Giglia,,10847802,HD105591,Giglia MT
40,1913135,Therese,M,Giglia,False,Therese M Giglia,,10733695,HD105591,Giglia MT
149,10633144,Thomas,,Wiese,True,Thomas  Wiese,,10544045,MD007595,Wiese T
96,8411059,Timothy,M,Vanwagoner,True,Timothy M Vanwagoner,ADMINISTRATIVE DIRECTOR,10721312,GM104938,Vanwagoner MT
54,9832700,Usha,,Sethuraman,True,Usha  Sethuraman,,10733697,HD105610,Sethuraman U
78,9832700,Usha,,Sethuraman,True,Usha  Sethuraman,,10847809,HD105610,Sethuraman U
2,16392635,Valentina,,Parma,False,Valentina  Parma,ASSISTANT DIRECTOR AND ASSISTANT MEMBER,10554171,DC019578,Parma V
132,8842771,Valerie,,Williams,True,Valerie  Williams,,10721313,GM104938,Williams V
69,1872150,Vincent,,Mor,True,Vincent  Mor,PROFESSOR OF HEALTH SERVICES POLICY,10673657,AG063546,Mor V
90,1872150,Vincent,,Mor,True,Vincent  Mor,PROFESSOR OF HEALTH SERVICES POLICY,10673655,AG063546,Mor V
150,9478412,Vladimir,,Kolesnichenko,True,Vladimir  Kolesnichenko,ASSISTANT PROFESSOR,10544048,MD007595,Kolesnichenko V
18,1925713,Warren,A.,Kibbe,False,Warren A Kibbe,PROFESSOR,10439479,MD016258,Kibbe AW
79,1925713,Warren,A.,Kibbe,False,Warren A Kibbe,PROFESSOR,10854638,MD016258,Kibbe AW
34,1862771,Wensheng,,Guo,False,Wensheng  Guo,,10554348,DK130067,Guo W
112,2064409,William,M.,Southerland,True,William M Southerland,PROFESSOR OF BIOCHEMISTRY,10597885,MD007597,Southerland MW
113,2064409,William,M.,Southerland,True,William M Southerland,PROFESSOR OF BIOCHEMISTRY,10597887,MD007597,Southerland MW
106,1897028,William,P,Fay,True,William P Fay,"DIRECTOR, CARDIOLOGY DIVISION",10730211,HL152410,Fay PW
68,12225947,Xing,,Wang,True,Xing  Wang,RESEARCH ASSOCIATE PROFESSOR,10756670,AA029348,Wang X
36,2264716,Yuedong,,Wang,True,Yuedong  Wang,PROFESSOR,10554348,DK130067,Wang Y
