property,type,description,example
id,string,Identifier of the patents,US11740171B2
name,string,Title of the patent,Open-ended hollow coaxial cable resonator sensor
inventors,string[],Name of the inventors,"Jie Huang|Chen Zhu|Rex E Gerald, II"
filingDate,date,Date the patent application was filed,2021-03-23
grantedDate,date,Date the patent was granted,2023-08-29
status,string,active or pending,active
applicants,string[],Name of the organization(s) that filed the patent application,University of Missouri System
url,string,URL of patent webpage,https://patents.google.com/patent/US11740171B2
