authorId,author,aliases,projectSerialNum,doi
2012755,Devaraj S,"S Niranjali Devaraj, S N Devaraj, S Devaraj, S Sivakumar And S Niranjali Devaraj, S Niranjali Devaraj, S Devaraj, Sri Devaraj, Sridevi Devaraj",HD105593,doi:10.1515/cclm-2022-0082
2012755,Devaraj S,"S Niranjali Devaraj, S N Devaraj, S Devaraj, S Sivakumar And S Niranjali Devaraj, S Niranjali Devaraj, S Devaraj, Sri Devaraj, Sridevi Devaraj",HD105593,doi:10.1016/j.healun.2021.11.001
2110598852,Fan X,,TR003812,doi:10.1001/jamanetworkopen.2023.0982
153000914,Fu X,"Xiao-an Fu, Xiaoan Fu, Xiao‐an Fu",TR003787,doi:10.1021/acs.analchem.2c04604
3368930,Gennaro M,"M L Gennaro, Maria L Gennaro, Marial Gennaro, M L Gennaro, Maria Laura Gennaro, Maria L Gennaro, Maria Gennaro, Ml Gennaro, María Laura Gennaro",HD105619,doi:10.1016/j.ebiom.2023.104731
3368930,Gennaro M,"M L Gennaro, Maria L Gennaro, Marial Gennaro, M L Gennaro, Maria Laura Gennaro, Maria L Gennaro, Maria Gennaro, Ml Gennaro, María Laura Gennaro",HD105619,doi:10.1186/s12916-022-02252-0
3368930,Gennaro M,"M L Gennaro, Maria L Gennaro, Marial Gennaro, M L Gennaro, Maria Laura Gennaro, Maria L Gennaro, Maria Gennaro, Ml Gennaro, María Laura Gennaro",HD105619,doi:10.1016/j.jim.2021.113165
3368930,Gennaro M,"M L Gennaro, Maria L Gennaro, Marial Gennaro, M L Gennaro, Maria Laura Gennaro, Maria L Gennaro, Maria Gennaro, Ml Gennaro, María Laura Gennaro",HD105619,doi:10.1093/infdis/jiab411
72162736,Gerkin RC,"R C Gerkin, Richard C Gerkin, Richard C Gerkin",DC019573,doi:10.1016/j.physbeh.2023.114331
72162736,Gerkin RC,"R C Gerkin, Richard C Gerkin, Richard C Gerkin",DC019573,doi:10.1101/2023.03.27.23287763
72162736,Gerkin RC,"R C Gerkin, Richard C Gerkin, Richard C Gerkin",DC019573,doi:10.1093/chemse/bjac036
72162736,Gerkin RC,"R C Gerkin, Richard C Gerkin, Richard C Gerkin",DC019573,doi:10.1093/chemse/bjab020
8079234,Giglia T,"Therese M Giglia, Therese Giglia, T M Giglia, T M Giglia, T Giglia, Therese M Giglia",HD105591,doi:10.1016/j.cjca.2023.06.001
