,dbgapAccession,coreProjectNum,studyInvestigator,profileId,projectSerialNum,isContactPi,fiscalYear,grantPi,fullName,firstName,middleName,lastName,isPi,isDepositor,name
41,phs002699.v1.p1,U01DC019578,Dalton P,1877373,DC019578,True,2023,Dalton PH,Pamela Helen Dalton,Pamela,Helen,Dalton,True,False,Dalton PH
42,phs002525.v1.p1,U01DA053941,Solo-Gabriele H,11165737,DA053941,True,2022,Solo-Gabriele H,Helena  Solo-Gabriele,Helena,,Solo-Gabriele,True,False,Solo-Gabriele H
43,phs002549.v1.p1,R61HD105610,Sethuraman U,9832700,HD105610,True,2022,Sethuraman U,Usha  Sethuraman,Usha,,Sethuraman,True,False,Sethuraman U
44,phs002565.v1.p1,U01AA029316,Pun S,8012149,AA029316,True,2022,Pun SH,Suzie H Pun,Suzie,H,Pun,True,False,Pun SH
45,phs002524.v1.p1,R01DE031114,Jokerst J,11288941,DE031114,True,2023,Jokerst JV,Jesse Vincent Jokerst,Jesse,Vincent,Jokerst,True,False,Jokerst JV
47,phs002542.v1.p1,U01DA053903,Keck JW,,,,,,,,,,False,True,Keck JW
48,phs002679.v1.p1,U01DA053893,Wenzel J,77820001,DA053893,True,2022,Wenzel J,Jeff  Wenzel,Jeff,,Wenzel,True,False,Wenzel J
50,,R01MD016526,,9436729,MD016526,True,2023,Dillard DA,Denise A Dillard,Denise,A,Dillard,True,False,Dillard DA
51,,R01DK130067,,9942278,DK130067,False,2023,Kotanko P,Peter  Kotanko,Peter,,Kotanko,True,False,Kotanko P
52,,U01HL152410,,7086603,HL152410,False,2023,Grant SA,SHEILA Ann GRANT,Sheila,Ann,Grant,True,False,Grant SA
53,,U01HL152410,,1897028,HL152410,True,2023,Fay WP,William P Fay,William,P,Fay,True,False,Fay WP
54,,R33HD105594,,10320851,HD105594,False,2023,Bassiri H,Hamid  Bassiri,Hamid,,Bassiri,True,False,Bassiri H
55,,U24LM013755,,9603016,LM013755,False,2023,Xu H,Hua  Xu,Hua,,Xu,True,False,Xu H
56,,U24LM013755,,10450719,LM013755,False,2023,Aronoff-Spencer ES,Eliah S Aronoff-Spencer,Eliah,S,Aronoff-Spencer,True,False,Aronoff-Spencer ES
57,,U01AA029348,,12225947,AA029348,True,2023,Wang X,Xing  Wang,Xing,,Wang,True,False,Wang X
58,,U24LM013755,,1900244,LM013755,True,2023,Ohno-Machado L,Lucila  Ohno-Machado,Lucila,,Ohno-Machado,True,False,Ohno-Machado L
59,,R01DK130067,,1862771,DK130067,False,2023,Guo W,Wensheng  Guo,Wensheng,,Guo,True,False,Guo W
60,,U01DC019578,,16392635,DC019578,False,2023,Parma V,Valentina  Parma,Valentina,,Parma,True,False,Parma V
61,,U01LM013129,,14431376,LM013129,False,2022,Varsani A,Arvind  Varsani,Arvind,,Varsani,True,False,Varsani A
62,,R61HD105618,,8717080,HD105618,False,2022,DeBiasi RL,Roberta Lynn DeBiasi,Roberta,Lynn,DeBiasi,True,False,DeBiasi RL
63,,R61HD105618,,12255899,HD105618,False,2022,Rostad CA,Christina Allen Rostad,Christina,Allen,Rostad,True,False,Rostad CA
64,,U01LM013129,,7698522,LM013129,False,2022,Halden RU,Rolf U Halden,Rolf,U,Halden,True,False,Halden RU
65,,R61HD105610,,14228211,HD105610,False,2022,Hicks SD,Steven Daniel Hicks,Steven,Daniel,Hicks,True,False,Hicks SD
66,,R61HD105610,,9502968,HD105610,False,2022,Zhu D,Dongxiao  Zhu,Dongxiao,,Zhu,True,False,Zhu D
67,,R61HD105618,,14135419,HD105618,False,2022,De Vlaminck I,Iwijn  De Vlaminck,Iwijn,,De Vlaminck,True,False,De Vlaminck I
68,,U01HL150852,,1891108,HL150852,True,2022,Panettieri RA,Reynold Alexander Panettieri,Reynold,Alexander,Panettieri,True,False,Panettieri RA
69,,U01HL150852,,6406851,HL150852,False,2022,Pasqualini R,Renata  Pasqualini,Renata,,Pasqualini,True,False,Pasqualini R
70,,U01HL150852,,9845089,HL150852,False,2022,Libutti SK,Steven K Libutti,Steven,K,Libutti,True,False,Libutti SK
71,,U18TR003793,,11435055,TR003793,False,2022,Boland GM,Genevieve Marie Boland,Genevieve,Marie,Boland,True,False,Boland GM
72,,U01DA053941,,9136437,DA053941,False,2022,Schurer SC,Stephan C Schurer,Stephan,C,Schurer,True,False,Schurer SC
73,,U01DA053941,,10379550,DA053941,False,2022,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason,True,False,Mason CE
74,,R61HD105613,,1861871,HD105613,False,2022,Lawrence DA,David A Lawrence,David,A,Lawrence,True,False,Lawrence DA
75,,R61HD105613,,2431709,HD105613,False,2022,Lynes MA,Michael A Lynes,Michael,A,Lynes,True,False,Lynes MA
76,,U01HL152401,,6417303,HL152401,True,2022,Ho RJ,Rodney Jy Ho,Rodney,Jy,Ho,True,False,Ho RJ
77,,U18TR003795,,7745756,TR003795,False,2022,Kenyon NJ,Nicholas J KENYON,Nicholas,J,Kenyon,True,False,Kenyon NJ
78,,U01DA053903,,10311819,DA053903,True,2022,Berry SM,Scott M Berry,Scott,M,Berry,True,False,Berry SM
79,,U01DA053976,,77858219,DA053976,False,2022,Hamilton K,Kerry  Hamilton,Kerry,,Hamilton,True,False,Hamilton K
80,,U01DA053976,,10833925,DA053976,True,2022,Conroy-Ben O,Otakuye  Conroy-Ben,Otakuye,,Conroy-Ben,True,False,Conroy-Ben O
81,,R44DE030841,,8656449,DE030841,False,2022,Shepard KL,Kenneth L Shepard,Kenneth,L,Shepard,True,False,Shepard KL
82,,R61HD105593,,10046004,HD105593,False,2022,Rusin CG,Craig G Rusin,Craig,G,Rusin,True,False,Rusin CG
83,,U18TR003787,,9972311,TR003787,False,2022,Nantz MH,Michael H Nantz,Michael,H,Nantz,True,False,Nantz MH
84,,R61HD105593,,6787050,HD105593,False,2022,Devaraj S,Sridevi  Devaraj,Sridevi,,Devaraj,True,False,Devaraj S
85,,R61HD105593,,2563052,HD105593,False,2022,Allen CE,Carl E Allen,Carl,E,Allen,True,False,Allen CE
86,,U18TR003812,,8485057,TR003812,False,2022,Ward K,Kevin  Ward,Kevin,,Ward,True,False,Ward K
87,,U01AA029316,,11273504,AA029316,False,2022,Smith JR,Joshua R Smith,Joshua,R,Smith,True,False,Smith JR
88,,R61HD105591,,6763646,HD105591,False,2022,McCrindle BW,Brian W McCrindle,Brian,W,McCrindle,True,False,McCrindle BW
89,,R61HD105591,,10394059,HD105591,False,2022,Kutty S,Shelby  Kutty,Shelby,,Kutty,True,False,Kutty S
90,,R61HD105591,,1913135,HD105591,False,2022,Giglia TM,Therese M Giglia,Therese,M,Giglia,True,False,Giglia TM
91,,R61HD105591,,77871541,HD105591,False,2022,Dahdah N,Nagib  Dahdah,Nagib,,Dahdah,True,False,Dahdah N
92,,U01DA053949,,77859447,DA053949,False,2022,Chandran K,Kartik  Chandran,Kartik,,Chandran,True,False,Chandran K
93,,U18TR003807,,9896788,TR003807,False,2022,Pancholi P,Preeti  Pancholi,Preeti,,Pancholi,True,False,Pancholi P
