id,authorId,orcid,name,fullName,firstName,middleName,lastName
profileid:8667619,2142194904,orcid:0000-0003-2915-2094,Chiu CY,Charles Yen Chiu,Charles,Yen,Chiu
profileid:2264716,20431833,,Wang Y,Yuedong Wang,Yuedong,,Wang
profileid:8547915,2107503492,,Johnson AT,Alan T Johnson,Alan,T,Johnson
profileid:6786579,2118306989,orcid:0000-0003-4112-6067,Salazar JC,Juan C Salazar,Juan,C,Salazar
profileid:1862128,2247003485,orcid:0000-0003-0784-7987,Snyder MP,Michael P Snyder,Michael,P,Snyder
profileid:12364332,,orcid:0000-0002-8271-8205,Reategui E,Eduardo Reategui,Eduardo,,Reategui
profileid:8553912,5588350,orcid:0000-0002-7196-8786,Cirrito JR,John R Cirrito,John,R,Cirrito
profileid:2050145,40568378,,Davis CE,Cristina Elizabeth Davis,Cristina,Elizabeth,Davis
profileid:6293772,4270772,orcid:0000-0001-5624-0925,Munger SD,Steven D Munger,Steven,D,Munger
profileid:1877373,40110488,orcid:0000-0003-2474-2888,Dalton PH,Pamela Helen Dalton,Pamela,Helen,Dalton
profileid:1877373,2238562087,orcid:0000-0003-2474-2888,Dalton PH,Pamela Helen Dalton,Pamela,Helen,Dalton
profileid:11165737,1398411589,orcid:0000-0003-3390-3823,Solo-Gabriele H,Helena Solo-Gabriele,Helena,,Solo-Gabriele
profileid:9832700,15940097,orcid:0000-0002-5183-0325,Sethuraman U,Usha Sethuraman,Usha,,Sethuraman
profileid:8012149,2635677,orcid:0000-0003-1443-4996,Pun SH,Suzie H Pun,Suzie,H,Pun
profileid:11288941,5530342,orcid:0000-0003-2829-6408,Jokerst JV,Jesse Vincent Jokerst,Jesse,Vincent,Jokerst
profileid:77820001,40530973,,Wenzel J,Jeff Wenzel,Jeff,,Wenzel
profileid:9942278,2951771,,Kotanko P,Peter Kotanko,Peter,,Kotanko
profileid:10320851,10999669,orcid:0000-0001-6532-8478,Bassiri H,Hamid Bassiri,Hamid,,Bassiri
profileid:9603016,2193571183,orcid:0000-0002-5274-4672,Xu H,Hua Xu,Hua,,Xu
profileid:9603016,2219752599,orcid:0000-0002-5274-4672,Xu H,Hua Xu,Hua,,Xu
profileid:12225947,2144804604,orcid:0000-0001-9930-3287,Wang X,Xing Wang,Xing,,Wang
profileid:12225947,2144801845,orcid:0000-0001-9930-3287,Wang X,Xing Wang,Xing,,Wang
profileid:12225947,2144802303,orcid:0000-0001-9930-3287,Wang X,Xing Wang,Xing,,Wang
profileid:1900244,1397958221,orcid:0000-0002-8005-7327,Ohno-Machado L,Lucila Ohno-Machado,Lucila,,Ohno-Machado
profileid:1862771,2698445,,Guo W,Wensheng Guo,Wensheng,,Guo
profileid:1862771,2116352655,,Guo W,Wensheng Guo,Wensheng,,Guo
profileid:16392635,4499739,orcid:0000-0003-0276-7072,Parma V,Valentina Parma,Valentina,,Parma
profileid:16392635,2251500579,orcid:0000-0003-0276-7072,Parma V,Valentina Parma,Valentina,,Parma
profileid:14228211,48248516,orcid:0000-0002-9579-6798,Hicks SD,Steven Daniel Hicks,Steven,Daniel,Hicks
profileid:8717080,6014055,orcid:0000-0002-5854-8875,DeBiasi RL,Roberta Lynn DeBiasi,Roberta,Lynn,DeBiasi
profileid:7698522,3520617,orcid:0000-0001-5232-7361,Halden RU,Rolf U Halden,Rolf,U,Halden
profileid:14431376,4462013,orcid:0000-0003-4111-2415,Varsani A,Arvind Varsani,Arvind,,Varsani
profileid:9502968,39895985,,Zhu D,Dongxiao Zhu,Dongxiao,,Zhu
profileid:9136437,40319108,orcid:0000-0002-5522-3389,Schurer SC,Stephan C Schurer,Stephan,C,Schurer
profileid:9136437,,orcid:0000-0002-5522-3389,Schurer SC,Stephan C Schurer,Stephan,C,Schurer
profileid:10379550,2143229837,orcid:0000-0002-1850-1642,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
profileid:10379550,2082443591,orcid:0000-0002-1850-1642,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
profileid:10379550,2082443601,orcid:0000-0002-1850-1642,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
profileid:10379550,2959056,orcid:0000-0002-1850-1642,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
profileid:10379550,2055781968,orcid:0000-0002-1850-1642,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
profileid:10379550,2093301251,orcid:0000-0002-1850-1642,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
profileid:1861871,2057547765,orcid:0000-0002-8940-9640,Lawrence DA,David A Lawrence,David,A,Lawrence
profileid:2431709,4407725,orcid:0000-0003-0085-5394,Lynes MA,Michael A Lynes,Michael,A,Lynes
profileid:12255899,3694364,,Rostad CA,Christina Allen Rostad,Christina,Allen,Rostad
profileid:7745756,11425187,orcid:0000-0001-8839-4400,Kenyon NJ,Nicholas J Kenyon,Nicholas,J,Kenyon
profileid:7745756,37846554,orcid:0000-0001-8839-4400,Kenyon NJ,Nicholas J Kenyon,Nicholas,J,Kenyon
profileid:7745756,34791938,orcid:0000-0001-8839-4400,Kenyon NJ,Nicholas J Kenyon,Nicholas,J,Kenyon
profileid:9972311,7019600,orcid:0000-0003-1301-3399,Nantz MH,Michael H Nantz,Michael,H,Nantz
profileid:10046004,2764391,orcid:0000-0003-3812-8133,Rusin CG,Craig G Rusin,Craig,G,Rusin
profileid:6787050,2012755,,Devaraj S,Sridevi Devaraj,Sridevi,,Devaraj
profileid:2563052,48292006,orcid:0000-0002-6625-739X,Allen CE,Carl E Allen,Carl,E,Allen
profileid:8485057,2127611827,,Ward K,Kevin Ward,Kevin,,Ward
profileid:1913135,8079234,orcid:0000-0002-1571-6330,Giglia TM,Therese M Giglia,Therese,M,Giglia
profileid:77871541,144393923,,Dahdah N,Nagib Dahdah,Nagib,,Dahdah
profileid:8892513,2107411054,orcid:0000-0002-3589-0280,Lee LJ,Ly James Lee,Ly,James,Lee
profileid:6763646,4318246,orcid:0000-0001-6485-6551,McCrindle BW,Brian W McCrindle,Brian,W,McCrindle
profileid:11457621,40168874,orcid:0000-0002-1831-1339,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton
profileid:11457621,46976008,orcid:0000-0002-1831-1339,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton
profileid:11457621,2238942807,orcid:0000-0002-1831-1339,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton
profileid:1861255,3368930,orcid:0000-0003-4801-3567,Gennaro ML,Maria Laura Gennaro,Maria,Laura,Gennaro
profileid:9451051,2151306338,,Hayes JE,John Edward Hayes,John,Edward,Hayes
profileid:7680168,72162736,,Gerkin RC,Richard C Gerkin,Richard,C,Gerkin
