property,type,description,example
from,string,Unique identifier for the researcher,orcid:0000-0001-9858-0960
to,string,Unique identifier for the grant without prefix or suffix,U01AA029328
isPi,boolean,True if researcher is a PI for the grant,true
isContactPi,boolean,True if researcher is the contact PI,true
isStudyInvestigator,boolean,True if research is the dbGaP study investigator,true
