id,name,url
github:radxrad/vqa-panels,Viral Quality Assurance Panels used by RADx-rad Projects,https://github.com/radxrad/vqa-panels
github:radxrad/common-data-elements,Common Data Elements for the RADx-rad COVID-19 Datasets,https://github.com/radxrad/common-data-elements
