from,to
2021-02-22_E1,RADx-rad
2021-02-22_E1,RADx-UP
2021-02-22_E1,RADx-DHT
2021-02-22_E1,RADx-TECH
2022-11-18_E1,RADx-rad
2023-09-21_E1,RADx-rad
2023-11-05_E1,RADx-rad
