radx_project,dbgap_accession,project_num,core_project_num,project_serial_num,principal_investigator,study_title
RADx-rad,,1U24LM013755-01,U24LM013755,LM013755,Lucila Ohno-Machado,RADx-Rad Discoveries & Data: Consortium Coordination Center Program Organization
RADx-UP,,1U24MD016258-01,U24MD016258,MD016258,Michael Cohen-Wolkowiez,RADx-UP CDCC
