researchInitiative,dbgapAccession,projectNum,contactPi,dataPi,coPi,comments,subProject,contactPiOrcid,dataPiOrcid,coPiOrcid
RADx-rad,phs002569.v1.p1,1R61HD105619-01,"Kleinman, Lawrence C","Kleinman, Lawrence C","Horton, Daniel Benjamin",,PreVAIL kIds,https://orcid.org/0000-0002-4024-2229,https://orcid.org/0000-0002-4024-2229,https://orcid.org/0000-0002-1831-1339
RADx-rad,phs002570.v1.p1,1R42DE030829-01,"Khosravi-Far, Roya","Khosravi-Far, Roya",,,Novel Biosensing and VOC,https://orcid.org/0000-0003-0430-4602,https://orcid.org/0000-0003-0430-4602,
RADx-rad,phs002572.v1.p1,1R42DE030832-01,"Keady, Patricia Bea","Gordon, Timothy",,,Novel Biosensing and VOC,https://orcid.org/0000-0001-9612-0960,https://orcid.org/0000-0002-5128-9532,
RADx-rad,phs002573.v1.p1,1U01AA029348-01,"Peng, Lu","Peng, Lu","Wang, Xing",,Automatic Detection & Tracing,https://orcid.org/0000-0003-3545-286X,https://orcid.org/0000-0003-3545-286X,https://orcid.org/0000-0001-9930-3287
RADx-rad,phs002583.v1.p1,5U01HL150852-02,"Panettieri, Reynold Alexander","DeMauro, Edward","Libutti, Steven K",,Novel Biosensing and VOC,https://orcid.org/0000-0003-0834-4636,https://orcid.org/0000-0002-3793-8014,https://orcid.org/0000-0003-2313-9809
RADx-rad,phs002583.v1.p1,5U01HL150852-02,"Panettieri, Reynold Alexander","DeMauro, Edward","Pasqualini, Renata",,Novel Biosensing and VOC,https://orcid.org/0000-0003-0834-4636,https://orcid.org/0000-0002-3793-8014,https://orcid.org/0000-0002-4155-9324
RADx-rad,phs002585.v1.p1,1R61HD105593-01,"Annapragada, Ananth V","Annapragada, Ananth V","Allen, Carl E",,PreVAIL kIds,https://orcid.org/0000-0002-3156-9617,https://orcid.org/0000-0002-3156-9617,https://orcid.org/0000-0002-6625-739X
RADx-rad,phs002585.v1.p1,1R61HD105593-01,"Annapragada, Ananth V","Annapragada, Ananth V","Devaraj, Sridevi",,PreVAIL kIds,https://orcid.org/0000-0002-3156-9617,https://orcid.org/0000-0002-3156-9617,https://orcid.org/0000-0001-9189-7914
RADx-rad,phs002585.v1.p1,1R61HD105593-01,"Annapragada, Ananth V","Annapragada, Ananth V","Rusin, Craig G",,PreVAIL kIds,https://orcid.org/0000-0002-3156-9617,https://orcid.org/0000-0002-3156-9617,https://orcid.org/0000-0003-3812-8133
RADx-rad,phs002588.v1.p1,1U18TR003775-01,"Johnson, Alan T Charlie","Johnson, Alan T Charlie",,,SCENT,https://orcid.org/0000-0002-5402-1224,https://orcid.org/0000-0002-5402-1224,
RADx-rad,phs002600.v1.p1,1U18TR003795-01,"Davis, Cristina Elizabeth","Davis, Cristina Elizabeth","Kenyon, Nicholas J",,SCENT,https://orcid.org/0000-0002-9878-7758,https://orcid.org/0000-0002-9878-7758,https://orcid.org/0000-0001-8839-4400
RADx-rad,phs002602.v1.p1,4U54HL119145-08,"Loscalzo, Joseph","Ünlü, M Selim","Parrish, John A",,Novel Biosensing and VOC,https://orcid.org/0000-0002-1153-8047,https://orcid.org/0000-0002-8594-892X,
RADx-rad,phs002602.v1.p1,4U54HL119145-08,"Loscalzo, Joseph","Ünlü, M Selim","Golan, David E",,Novel Biosensing and VOC,https://orcid.org/0000-0002-1153-8047,https://orcid.org/0000-0002-8594-892X,
RADx-rad,phs002603.v1.p1,1R61HD105594-01,"Odom John, Audrey Ragan","Odom John, Audrey Ragan",,,PreVAIL kIds,https://orcid.org/0000-0001-8395-8537,https://orcid.org/0000-0001-8395-8537,
RADx-rad,phs002604.v1.p1,1U01DA053949-01,"Uhlemann, Anne-Catrin","Uhlemann, Anne-Catrin","Chandran, Kartik",,Wastewater,https://orcid.org/0000-0002-9798-4768,https://orcid.org/0000-0002-9798-4768,https://orcid.org/0000-0002-7526-3724
RADx-rad,phs002609.v1.p1,1R61HD105613-01,"Salazar, Juan C","Salazar, Juan C","Lynes, Michael A",,PreVAIL kIds,https://orcid.org/0000-0003-4112-6067,https://orcid.org/0000-0003-4112-6067,https://orcid.org/0000-0003-0085-5394
RADx-rad,phs002609.v1.p1,1R61HD105613-01,"Salazar, Juan C","Salazar, Juan C","Lawrence, David A",,PreVAIL kIds,https://orcid.org/0000-0003-4112-6067,https://orcid.org/0000-0003-4112-6067,https://orcid.org/0000-0002-8940-9640
