,official_name,modified_name,original_name,ror_id,geoname_city_id
42,University of Connecticut,UNIVERSITY OF CONNECTICUT,UNIVERSITY OF CONNECTICUT STORRS,https://ror.org/02der9h97,4843786
43,Wadsworth Center,WADSWORTH CENTER,WADSWORTH CENTER,https://ror.org/050kf9c55,5106834
44,Connecticut Children's Medical Center,CONNECTICUT CHILDREN'S MEDICAL CENTER,CONNECTICUT CHILDREN'S MEDICAL CENTER,https://ror.org/01a1jjn24,4835797
45,Central Michigan University,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY,https://ror.org/02xawj266,5002714
46,University of New Orleans,UNIVERSITY OF NEW ORLEANS,LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,https://ror.org/034mtvk83,4335045
47,Penn State Milton S. Hershey Medical Center,HERSHEY MEDICAL CENTER,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,https://ror.org/01h22ap11,5193342
48,Baylor College of Medicine,BAYLOR COLLEGE OF MEDICINE,BAYLOR COLLEGE OF MEDICINE,https://ror.org/02pttbw34,4699066
49,Hospital for Sick Children,HOSPITAL FOR SICK CHILDREN,HOSPITAL FOR SICK CHLDRN (TORONTO),https://ror.org/057q4rt57,6167865
50,"Atom Bioworks, Inc.","Atom Bioworks, Inc",ATOM BIOWORKS INC,,4459467
51,"MPOD, Inc","MPOD, Inc.","MPOD, INC.",,4360369
52,"Quicksilver Biosciences, Inc.","Quicksilver Biosciences, Inc.","QUICKSILVER BIOSCIENCES, INC.",,5128581
53,Columbia University,COLUMBIA UNIVERSITY,COLUMBIA UNIV NEW YORK MORNINGSIDE,https://ror.org/00hj8s172,5128581
54,"Aerosol Devices, Inc.","Aerosol Devices, Inc.","AEROSOL DEVICES, INC.",,7173444
55,"InnoTech Precision Medicine, Inc","InnoTech Precision Medicine, Inc",INNOTECH LLC,,4930956
56,Children's Hospital of Philadelphia,CHILDREN'S HOSPITAL OF PHILADELPHIA,CHILDREN'S HOSP OF PHILADELPHIA,https://ror.org/01z7r7q48,4560349
57,Stanford University,STANFORD UNIVERSITY,STANFORD UNIVERSITY,https://ror.org/00f54p054,5398563
58,Washington State University,WASHINGTON STATE UNIVERSITY,WASHINGTON STATE UNIVERSITY,https://ror.org/05dk0ce17,5807540
59,"University of California, Santa Barbara",UNIVERSITY OF CALIFORNIA SANTA BARBARA,UNIVERSITY OF CALIFORNIA SANTA BARBARA,https://ror.org/02t274463,5392952
